GCF_000001985.1	Talaromyces marneffei ATCC 18224
GCF_000230915.1	Paenibacillus lactis 154
GCF_000230935.1	Mycolicibacterium rhodesiae JS60
GCF_000230955.2	Halobacterium sp. DL1
GCF_000231015.2	Desulfurococcus amylolyticus DSM 16532
GCF_000231035.2	Saccharomonospora paurometabolica YIM 90007
GCF_000231055.2	Saccharomonospora azurea NA-128
GCF_000231115.1	Vittaforma corneae ATCC 50505
GCF_000231275.1	Alistipes indistinctus YIT 12060
GCF_000231305.1	Leucobacter chromiiresistens JG 31
GCF_000231385.2	Desulfosporosinus meridiei DSM 13257
GCF_000231405.2	Desulfitobacterium metallireducens DSM 15288
GCF_000231445.1	Commensalibacter intestini A911
GCF_000233435.1	Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR
GCF_000233455.1	[Clostridium] citroniae WAL-17108
GCF_000233535.1	Olsenella sp. oral taxon 809 str. F0356
GCF_000233655.1	Brachybacterium paraconglomeratum LC44
GCF_000233695.2	Desulfobacter postgatei 2ac9
GCF_000233715.2	Desulfotomaculum gibsoniae DSM 7213
GCF_000233775.1	Thermovirga lienii DSM 17291
GCF_000233915.3	Pseudoxanthomonas spadix BD-a59
GCF_000234115.1	Alloprevotella rava F0323
GCF_000234355.1	Gluconobacter morbifer G707
GCF_000234585.1	Mycolicibacterium thermoresistibile ATCC 19527
GCF_000235365.1	Eremothecium cymbalariae DBVPG#7215
GCF_000235405.2	Fervidobacterium pennivorans DSM 9078
GCF_000235425.2	Frankia saprophytica
GCF_000235445.1	Johnsonella ignava ATCC 51276
GCF_000235505.1	Hungatella hathewayi WAL-18680
GCF_000235565.1	Methanosaeta harundinacea 6Ac
GCF_000235605.1	Desulfosporosinus orientis DSM 765
GCF_000235645.1	Staphylococcus simiae CCM 7213
GCF_000235685.2	Methanolinea tarda NOBI-1
GCF_000235885.1	Prevotella stercorea DSM 18206
GCF_000236035.1	Halomonas boliviensis LC1
GCF_000236085.2	Spiroplasma melliferum KC3
GCF_000236165.1	Fluoribacter dumoffii NY 23
GCF_000236405.1	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu
GCF_000236565.1	Mesorhizobium alhagi CCNWXJ12-2
GCF_000236625.2	Halomonas sp. GFAJ-1
GCF_000236665.1	Dechlorosoma suillum PS
GCF_000236685.1	Sphaerochaeta pleomorpha str. Grapes
GCF_000236705.1	Owenweeksia hongkongensis DSM 17368
GCF_000236865.1	Senegalimassilia anaerobia JC110
GCF_000236905.1	Tetrapisispora phaffii CBS 4417
GCF_000237065.1	Pseudomonas fluorescens F113
GCF_000237085.1	[Clostridium] clariflavum DSM 19732
GCF_000237145.1	Actinoplanes sp. SE50/110
GCF_000237205.1	Simkania negevensis Z
GCF_000237285.1	Helicobacter bizzozeronii CIII-1
GCF_000237345.1	Naumovozyma castellii CBS 4309
GCF_000237805.1	Jonquetella anthropi DSM 22815
GCF_000237825.1	Thermanaerovibrio velox DSM 12556
GCF_000237865.1	Haloquadratum walsbyi C23
GCF_000237995.1	Pediococcus claussenii ATCC BAA-344
GCF_000238055.2	Oribacterium parvum ACB1
GCF_000238095.2	Peptoanaerobacter stomatis
GCF_000238215.1	Tannerella forsythia 92A2
GCF_000238255.2	Pseudoalteromonas spongiae UST010723-006
GCF_000238275.2	Pseudoalteromonas undina DSM 6065
GCF_000238375.2	Pseudoalteromonas citrea DSM 8771
GCF_000238795.1	Haemophilus sputorum CCUG 13788
GCF_000238815.1	SAR116 cluster alpha proteobacterium HIMB100
GCF_000238915.1	Arthrobacter globiformis NBRC 12137
GCF_000238995.1	Mycoplasma haemocanis str. Illinois
GCF_000239275.1	Anaeroglobus geminatus F0357
GCF_000239355.1	Cardiobacterium valvarum F0432
GCF_000239695.1	Actinomyces graevenitzii C83
GCF_000239815.1	Bradyrhizobium sp. STM 3843
GCF_000240075.2	Flavobacterium columnare ATCC 49512
GCF_000240135.3	Fusarium graminearum PH-1
GCF_000240165.1	Streptomyces cattleya NRRL 8057 = DSM 46488
GCF_000240185.1	Klebsiella pneumoniae subsp. pneumoniae HS11286
GCF_000240225.1	Patulibacter medicamentivorans
GCF_000240505.1	Mycobacterium avium subsp. avium Env 77
GCF_000241055.1	Oenococcus kitaharae DSM 17330
GCF_000241145.1	Candidatus Nitrosoarchaeum limnia BG20
GCF_000241265.1	Gordonia araii NBRC 100433
GCF_000241305.1	Gordonia effusa NBRC 100432
GCF_000241345.1	Gordonia amarae NBRC 15530
GCF_000241465.1	Sphingomonas echinoides ATCC 14820
GCF_000242235.1	Stomatobaculum longum
GCF_000242255.2	Frateuria aurantia DSM 6220
GCF_000242335.1	Prevotella dentalis DSM 3688
GCF_000242435.1	Dialister succinatiphilus YIT 11850
GCF_000242455.2	Singulisphaera acidiphila DSM 18658
GCF_000242595.2	Spirochaeta africana DSM 8902
GCF_000242615.2	Holophaga foetida DSM 6591
GCF_000242635.2	Solitalea canadensis DSM 3403
GCF_000242715.1	Streptomyces acidiscabies 84-104
GCF_000242835.1	Sphingomonas sp. PAMC 26617
GCF_000242875.2	Candidatus Nitrosopumilus salaria BD31
GCF_000242895.2	Bacillus sp. 1NLA3E
GCF_000242915.1	Sulfurimonas gotlandica GD1
GCF_000242935.2	Opitutaceae bacterium TAV5
GCF_000242955.1	Eubacterium sp. 3_1_31
GCF_000243115.2	Niabella soli DSM 19437
GCF_000243135.2	Desulfitobacterium dichloroeliminans LMG P-21439
GCF_000243155.2	Desulfitobacterium dehalogenans ATCC 51507
GCF_000243215.1	Odoribacter laneus YIT 12061
GCF_000243235.1	Gillisia limnaea DSM 15749
GCF_000243255.1	Methanoplanus limicola DSM 2279
GCF_000243275.1	Myroides odoratus DSM 2801
GCF_000243315.1	Metallosphaera yellowstonensis MK1
GCF_000243335.1	Leptonema illini DSM 21528
GCF_000243375.1	Torulaspora delbrueckii
GCF_000243395.2	Saccharomonospora glauca K62
GCF_000243455.1	Methanotorris formicicus Mc-S-70
GCF_000243715.2	Leptospira broomii serovar Hurstbridge str. 5399
GCF_000243735.2	Leptospira kmetyi serovar Malaysia str. Bejo-Iso9
GCF_000243815.2	Leptospira alexanderi serovar Manhao 3 str. L 60
GCF_000244515.1	Leptospira kirschneri serovar Valbuzzi str. 200702274
GCF_000244755.1	Leptospira licerasiae serovar Varillal str. VAR 010
GCF_000244815.1	Leptospira weilii serovar Topaz str. LT2116
GCF_000244895.1	Desulfosporosinus youngiae DSM 17734
GCF_000244955.1	Saccharomonospora marina XMU15
GCF_000244975.1	Saccharomonospora cyanea NA-134
GCF_000244995.1	Burkholderiales bacterium JOSHI_001
GCF_000245015.1	Beggiatoa alba B18LD
GCF_000245055.1	Desulfovibrio sp. U5L
GCF_000245075.1	Acetobacteraceae bacterium AT-5844
GCF_000245555.1	Paenibacillus dendritiformis C454
GCF_000245755.1	Helcococcus kunzii ATCC 51366
GCF_000245775.1	Megamonas funiformis YIT 11815
GCF_000245795.1	Facklamia languida CCUG 37842
GCF_000245815.1	Dolosigranulum pigrum ATCC 51524
GCF_000246855.1	Niastella koreensis GR20-10
GCF_000246875.1	Halomonas sp. KM-1
GCF_000246895.1	Clostridium arbusti SL206
GCF_000246925.1	Peptoniphilus rhinitidis 1-13
GCF_000246945.1	Myroides injenensis M09-0166
GCF_000246985.2	Thermococcus litoralis DSM 5473
GCF_000247475.1	Rhizobium sp. PDO1-076
GCF_000247565.1	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)
GCF_000247605.1	Acetobacterium woodii DSM 1030
GCF_000247645.1	Salinibacterium sp. PAMC 21357
GCF_000247715.1	Gordonia polyisoprenivorans VH2
GCF_000247995.1	Mobilicoccus pelagius NBRC 104925
GCF_000248015.1	Atlantibacter hermannii NBRC 105704
GCF_000248055.1	Gordonia sputi NBRC 100414
GCF_000248095.2	Lactobacillus mucosae LM1
GCF_000250635.1	Saprospira grandis str. Lewin
GCF_000250655.1	Paenibacillus mucilaginosus 3016
GCF_000250675.2	Nocardia brasiliensis ATCC 700358
GCF_000250875.1	Sutterella parvirubra YIT 11816
GCF_000250985.1	Nematocida parisii ERTm1
GCF_000251105.1	Methanocella conradii HZ254
GCF_000252125.1	Flavobacterium frigoris PS1
GCF_000252165.1	Glaciecola punicea ACAM 611
GCF_000252445.1	Deinococcus gobiensis I-0
GCF_000252625.1	Listeria fleischmannii subsp. coloradonensis
GCF_000252855.1	Riemerella anatipestifer ATCC 11845 = DSM 15868
GCF_000252955.1	Xenorhabdus nematophila ATCC 19061
GCF_000253015.1	Bartonella clarridgeiae 73
GCF_000253035.1	Parachlamydia acanthamoebae UV-7
GCF_000253055.1	Thermoproteus tenax Kra 1
GCF_000253115.1	Thiomonas arsenitoxydans
GCF_000253175.1	Yersinia enterocolitica subsp. palearctica Y11
GCF_000253235.1	Streptomyces venezuelae ATCC 10712
GCF_000253275.1	Flavobacterium branchiophilum FL-15
GCF_000253295.1	Hyphomicrobium sp. MC1
GCF_000253395.1	Streptococcus thermophilus JIM 8232
GCF_000255115.2	Desulfosporosinus acidiphilus SJ4
GCF_000255135.1	Marinitoga piezophila KA3
GCF_000255295.1	Corallococcus coralloides DSM 2259
GCF_000255355.1	Rickettsia helvetica C9P9
GCF_000255455.1	Aquimarina agarilytica ZC1
GCF_000255495.1	Lactobacillus vini DSM 20605
GCF_000255535.1	Rahnella aquatilis HX2
GCF_000255555.1	Treponema saccharophilum DSM 2985
GCF_000255655.1	Schlesneria paludicola DSM 18645
GCF_000255705.1	Zavarzinella formosa DSM 19928
GCF_000257395.1	Diplorickettsia massiliensis 20B
GCF_000257665.1	Candidatus Aquiluna sp. IMCC13023
GCF_000257745.1	Mycobacterium xenopi RIVM700367
GCF_000258175.1	Saccharomonospora xinjiangensis XJ-54
GCF_000258345.2	Candidatus Hamiltonella defensa MED (Bemisia tabaci)
GCF_000258405.1	Ignavibacterium album JCM 16511
GCF_000258495.1	Pedobacter agri PB92
GCF_000258515.1	Thermococcus zilligii AN1
GCF_000258705.1	Coccomyxa subellipsoidea C-169
GCF_000258765.1	Gillisia marina
GCF_000259075.1	Marinilabilia salmonicolor JCM 21150
GCF_000259095.1	Citreicella sp. 357
GCF_000259175.1	Providencia stuartii MRSN 2154
GCF_000259255.1	Helicobacter cetorum MIT 00-7128
GCF_000259275.1	Helicobacter cetorum MIT 99-5656
GCF_000260115.1	Joostella marina DSM 19592
GCF_000260135.1	Thiothrix nivea DSM 5205
GCF_000260275.1	Staphylococcus pettenkoferi VCU012
GCF_000260635.1	Lactobacillus acidipiscis KCTC 13900
GCF_000260835.1	Imtechella halotolerans K1
GCF_000260965.1	Methylophaga frappieri
GCF_000260985.3	Methylophaga nitratireducenticrescens
GCF_000260985.4	Methylophaga nitratireducenticrescens
GCF_000261025.1	Prevotella intermedia 17
GCF_000261485.1	Ensifer sojae CCBAU 05684
GCF_000262225.1	Fusobacterium necrophorum subsp. funduliforme ATCC 51357
GCF_000262245.1	Pasteurella bettyae CCUG 2042
GCF_000262305.1	Shimwellia blattae DSM 4481 = NBRC 105725
GCF_000262405.1	Microvirga lotononidis
GCF_000262545.1	Prevotella bivia DSM 20514
GCF_000262715.1	Blattabacterium sp. (Blaberus giganteus)
GCF_000263195.1	Emticicia oligotrophica DSM 17448
GCF_000263355.1	Cellvibrio sp. BR
GCF_000263375.1	Wallemia mellicola CBS 633.66
GCF_000263735.1	Pyrococcus sp. ST04
GCF_000264055.1	Flavobacterium sp. ACAM 123
GCF_000264315.1	Rhodanobacter fulvus Jip2
GCF_000264335.1	Rhodanobacter sp. 115
GCF_000264455.2	Tistrella mobilis KA081020-065
GCF_000264495.1	Thermogladius calderae 1633
GCF_000264905.1	Stereum hirsutum FP-91666 SS1
GCF_000264995.1	Punctularia strigosozonata HHB-11173 SS5
GCF_000265015.1	Auricularia subglabra TFB-10046 SS5
GCF_000265075.1	Nitritalea halalkaliphila LW7
GCF_000265245.1	Halomonas smyrnensis AAD6
GCF_000265295.1	Sulfurospirillum barnesii SES-3
GCF_000265365.1	Alistipes finegoldii DSM 17242
GCF_000265385.1	Aequorivita sublithincola DSM 14238
GCF_000265405.1	Belliella baltica DSM 15883
GCF_000265425.1	Terriglobus roseus DSM 18391
GCF_000265465.1	Ornithobacterium rhinotracheale DSM 15997
GCF_000265505.1	Bernardetia litoralis DSM 6794
GCF_000265525.1	Thermococcus cleftensis
GCF_000266885.1	Turneriella parva DSM 21527
GCF_000266905.1	Mycobacterium chubuense NBB4
GCF_000266925.1	Acetomicrobium mobile DSM 13181
GCF_000266945.1	Desulfomonile tiedjei DSM 6799
GCF_000269565.1	Coprobacillus cateniformis
GCF_000269605.1	Scardovia wiggsiae F0424
GCF_000269805.1	Actinomyces massiliensis 4401292
GCF_000269865.1	Fictibacillus macauensis ZFHKF-1
GCF_000269905.1	Alkalibacillus haloalkaliphilus C5
GCF_000269945.1	Lactococcus garvieae Lg2
GCF_000269985.1	Kitasatospora setae KM-6054
GCF_000270085.1	Erysipelothrix rhusiopathiae str. Fujisawa
GCF_000270145.1	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
GCF_000270185.1	Melissococcus plutonius ATCC 35311
GCF_000270205.1	Candidatus Arthromitus sp. SFB-mouse-Japan
GCF_000270245.1	Microlunatus phosphovorus NM-1
GCF_000270285.1	Eggerthella sp. YY7918
GCF_000270305.1	Clostridium sp. SY8519
GCF_000271305.1	Hydrocarboniphaga effusa AP103
GCF_000271585.1	Trametes versicolor FP-101664 SS1
GCF_000271605.1	Fomitiporia mediterranea MF3/22
GCF_000271625.1	Coniophora puteana RWD-64-598 SS2
GCF_000271645.1	Tremella mesenterica DSM 1558
GCF_000271665.2	Pelosinus fermentans JBW45
GCF_000272005.1	Alishewanella agri BL06
GCF_000272025.1	Ralstonia sp. PBA
GCF_000272145.2	Vibrio genomosp. F6 str. FF-238
GCF_000272475.1	Novosphingobium sp. Rr 2-17
GCF_000273375.1	Bartonella birtlesii IBS 325
GCF_000275725.1	Halomonas stevensii S18214
GCF_000275845.1	Dichomitus squalens LYAD-421 SS1
GCF_000275865.1	Methanofollis liminatans DSM 4140
GCF_000276685.1	Taylorella equigenitalis ATCC 35865
GCF_000276805.1	Moritella dasanensis ArB 0140
GCF_000277125.1	Mycobacterium intracellulare ATCC 13950
GCF_000277715.1	Pseudopropionibacterium propionicum F0230a
GCF_000277795.1	Mycoplasma wenyonii str. Massachusetts
GCF_000277815.2	Encephalitozoon hellem ATCC 50504
GCF_000278135.1	Bartonella washoeensis Sb944nv
GCF_000278155.1	Bartonella doshiae NCTC 12862 = ATCC 700133
GCF_000278215.1	Bartonella rattimassiliensis 15908
GCF_000278295.1	Bartonella taylorii 8TBB
GCF_000279145.1	Melioribacter roseus P3M-2
GCF_000279995.1	Bartonella tamiae Th307
GCF_000280015.1	Bartonella alsatica IBS 382
GCF_000280035.1	Encephalitozoon romaleae SJ-2008
GCF_000280675.1	Beauveria bassiana ARSEF 2860
GCF_000281085.1	Catenovulum agarivorans YM01
GCF_000281105.1	Coniosporium apollinis CBS 100218
GCF_000281175.1	Caldilinea aerophila DSM 14535 = NBRC 104270
GCF_000282595.1	Phyllobacterium sp. YR531
GCF_000282775.1	Pseudomonas luteola XLDN4-9
GCF_000283015.1	Arenitalea lutea
GCF_000283235.1	Methylocystis parvus OBBP
GCF_000283315.1	Paenibacillus sp. OSY-SE
GCF_000283335.1	Halogranum salarium B-1
GCF_000283495.2	Megasphaera elsdenii DSM 20460
GCF_000283515.1	Sphingobium sp. SYK-6
GCF_000283555.1	Candidatus Arthromitus sp. SFB-rat-Yit
GCF_000283575.1	Oscillibacter valericigenes Sjm18-20
GCF_000283595.1	Rickettsia japonica YH
GCF_000283615.1	Tetragenococcus halophilus NBRC 12172
GCF_000283655.1	Azospirillum lipoferum 4B
GCF_000283855.1	Rickettsia massiliae str. AZT80
GCF_000284015.1	Blastococcus saxobsidens DD2
GCF_000284035.1	Nocardia cyriacigeorgica GUH-2
GCF_000284075.1	Rickettsia rhipicephali str. 3-7-female6-CWPP
GCF_000284095.1	Selenomonas ruminantium subsp. lactilytica TAM6421
GCF_000284115.1	Phycisphaera mikurensis NBRC 102666
GCF_000284155.1	Rickettsia australis str. Cutlack
GCF_000284235.1	Arcobacter sp. L
GCF_000284255.1	Rubrivivax gelatinosus IL144
GCF_000284295.1	Actinoplanes missouriensis 431
GCF_000284315.1	Leptospirillum ferrooxidans C2-3
GCF_000284335.1	Caldisericum exile AZM16c01
GCF_000284375.1	Bradyrhizobium japonicum USDA 6
GCF_000284415.1	Pararhodospirillum photometricum DSM 122
GCF_000284515.1	Halobacillus halophilus DSM 2266
GCF_000284615.1	Marinobacter hydrocarbonoclasticus ATCC 49840
GCF_000284835.1	Ureibacillus thermosphaericus str. Thermo-BF
GCF_000285455.1	Alistipes timonensis JC136
GCF_000285495.1	Oceanobacillus massiliensis str. N'diop
GCF_000285515.1	Paenibacillus senegalensis JC66
GCF_000285535.1	Bacillus timonensis
GCF_000285555.1	Kurthia massiliensis
GCF_000285575.1	Clostridium senegalense JC122
GCF_000285595.1	Kurthia senegalensis
GCF_000285835.1	Brevibacterium senegalense
GCF_000285915.1	Brevibacterium ravenspurgense 5401308 = CCUG 53855
GCF_000286075.1	Streptococcus ratti FA-1 = DSM 20564
GCF_000286315.1	Paenisporosarcina sp. TG20
GCF_000286335.1	Staphylococcus vitulinus F1028
GCF_000286395.1	Staphylococcus lentus F1142
GCF_000286435.2	Morganella morganii subsp. morganii KT
GCF_000286895.2	Enterovibrio calviensis 1F-211
GCF_000287055.2	Vibrio genomosp. F10 str. ZF-129
GCF_000287335.1	secondary endosymbiont of Ctenarytaina eucalypti
GCF_000287355.1	secondary endosymbiont of Heteropsylla cubana
GCF_000292245.2	Bacillus alcalophilus ATCC 27647 = CGMCC 1.3604
GCF_000293215.1	Trichosporon asahii var. asahii CBS 2479
GCF_000293785.1	Rhodovulum sp. PH10
GCF_000293805.1	Paenibacillus alvei DSM 29
GCF_000293845.2	alpha proteobacterium IMCC14465
GCF_000294515.1	Nocardiopsis alba ATCC BAA-2165
GCF_000294655.1	Phaeospirillum molischianum DSM 120
GCF_000294675.1	Alicyclobacillus hesperidum URH17-3-68
GCF_000294715.1	Bartonella quintana RM-11
GCF_000294775.2	Bacillus oceanisediminis 2691
GCF_000295095.1	Actinomyces timonensis DSM 23838
GCF_000295715.1	Staphylococcus arlettae CVD059
GCF_000295935.2	Indibacter alkaliphilus LW1
GCF_000296385.1	Lachnoanaerobaculum sp. OBRC5-5
GCF_000296405.1	Turicella otitidis ATCC 51513
GCF_000296445.1	Slackia piriformis YIT 12062
GCF_000296465.1	Barnesiella intestinihominis YIT 11860
GCF_000296505.1	Actinomyces turicensis ACS-279-V-Col4
GCF_000296695.1	Rheinheimera nanhaiensis E407-8
GCF_000296775.1	Sulfurovum sp. AR
GCF_000296795.1	Candidatus Jettenia caeni
GCF_000296815.2	Fibrisoma limi BUZ 3
GCF_000296835.1	Lactobacillus hominis DSM 23910 = CRBIP 24.179
GCF_000296855.1	Lactobacillus gigeriorum DSM 23908 = CRBIP 24.85
GCF_000297025.1	Lactobacillus pasteurii DSM 23907 = CRBIP 24.76
GCF_000297055.2	Sulfuricella denitrificans skB26
GCF_000297095.1	Treponema primitia ZAS-1
GCF_000297115.1	Caloramator australicus RC3
GCF_000297135.1	endosymbiont of Bathymodiolus sp.
GCF_000297255.1	Nitrolancea hollandica Lb
GCF_000297395.2	Micromonospora lupini str. Lupac 08
GCF_000297495.1	Janibacter hoylei PVAS-1
GCF_000297555.1	Paenisporosarcina sp. TG-14
GCF_000297775.1	Sutterella wadsworthensis 2_1_59BFAA
GCF_000298075.1	Staphylococcus massiliensis CCUG 55927
GCF_000298115.2	Lactobacillus buchneri CD034
GCF_000298175.1	Austwickia chelonae NBRC 105200
GCF_000298195.1	Gordonia rhizosphera NBRC 16068
GCF_000298215.1	Kineosphaera limosa NBRC 100340
GCF_000298295.1	Cecembia lonarensis LW9
GCF_000298775.1	Marssonina brunnea f. sp. 'multigermtubi' MB_m1
GCF_000299095.1	alpha proteobacterium HIMB5
GCF_000299115.1	alpha proteobacterium HIMB59
GCF_000299235.1	Leptospirillum ferriphilum ML-04
GCF_000299335.2	Alcanivorax pacificus W11-5
GCF_000299355.1	Gottschalkia acidurici 9a
GCF_000299395.1	Candidatus Nitrosopumilus sediminis
GCF_000299455.1	Escherichia coli O104:H4 str. 2011C-3493
GCF_000299575.1	Oceaniovalibus guishaninsula JLT2003
GCF_000299875.1	Celeribacter baekdonensis B30
GCF_000299895.1	Idiomarina xiamenensis 10-D-4
GCF_000299915.1	Gallaecimonas xiamenensis 3-C-1
GCF_000299935.1	Oceanibaculum indicum P24
GCF_000300005.1	Alcanivorax dieselolei B5
GCF_000300075.1	Candidatus Portiera aleyrodidarum BT-B-HRs
GCF_000300115.1	Tolypothrix sp. PCC 7601
GCF_000300135.1	Leuconostoc carnosum JB16
GCF_000300195.1	Clostridium tunisiense TJ
GCF_000300235.2	Thalassospira xiamenensis M-5 = DSM 17429
GCF_000300255.2	Candidatus Methanomethylophilus alvus Mx1201
GCF_000300275.1	Thalassospira profundimaris WP0211
GCF_000300295.3	Piscirickettsia salmonis LF-89 = ATCC VR-1361
GCF_000300295.4	Piscirickettsia salmonis LF-89 = ATCC VR-1361
GCF_000300335.1	Nitratireductor pacificus pht-3B
GCF_000300455.3	Kosakonia sacchari SP1
GCF_000300515.1	Nitratireductor indicus C115
GCF_000300575.1	Agaricus bisporus var. bisporus H97
GCF_000300595.1	Phanerochaete carnosa HHB-10118-sp
GCF_000300695.1	Italian clover phyllody phytoplasma str. MA1
GCF_000300815.1	Gayadomonas joobiniege G7
GCF_000300855.1	Agrobacterium albertimagni AOL15
GCF_000300875.1	Galbibacter marinus
GCF_000300995.1	Alcanivorax hongdengensis A-11-3
GCF_000301035.1	Facklamia hominis CCUG 36813
GCF_000301055.1	Facklamia ignava CCUG 37419
GCF_000301075.1	Bergeyella zoohelcum ATCC 43767
GCF_000302455.1	Methanobacterium formicicum DSM 3637
GCF_000302595.1	Pedobacter arcticus A12
GCF_000302695.1	Enterobacteriaceae bacterium LSJC7
GCF_000303195.2	Fusarium pseudograminearum CS3096
GCF_000304215.1	Bifidobacterium asteroides PRL2011
GCF_000304275.1	Leptospira meyeri serovar Hardjo str. Went 5
GCF_000304335.1	Microbacterium yannicii PS01
GCF_000304355.2	Methanoculleus bourgensis MS2
GCF_000304395.1	Pseudaminobacter salicylatoxidans KCT001
GCF_000304455.1	Cardinium endosymbiont cEper1 of Encarsia pergandiella
GCF_000304475.1	Kazachstania africana CBS 2517
GCF_000304735.1	Borrelia afzelii HLJ01
GCF_000305495.1	Bacillus psychrosaccharolyticus ATCC 23296
GCF_000305785.2	Simiduia agarivorans SA1 = DSM 21679
GCF_000305935.1	Thermacetogenium phaeum DSM 12270
GCF_000306115.2	Leptospira wolffii serovar Khorat str. Khorat-H2
GCF_000306255.2	Leptospira noguchii serovar Panama str. CZ214
GCF_000306725.1	Methanolobus psychrophilus R15
GCF_000306765.2	Haloferax mediterranei ATCC 33500
GCF_000306785.1	Modestobacter marinus
GCF_000306885.1	Wolbachia endosymbiont of Onchocerca ochengi
GCF_000306965.1	Amphibacillus jilinensis Y1
GCF_000307105.1	Desulfobacula toluolica Tol2
GCF_000307165.1	Amphibacillus xylanus NBRC 15112
GCF_000307245.1	Promicromonosporaceae bacterium W15
GCF_000307265.1	Oscillibacter ruminantium GH1
GCF_000307305.1	Enterobacteriaceae bacterium B14
GCF_000307375.1	Parabacteroides johnsonii CL02T12C29
GCF_000307855.1	Bacillus azotoformans LMG 9581
GCF_000307875.1	Bacillus bataviensis LMG 21833
GCF_000308195.1	Pusillimonas noertemannii BS8
GCF_000308215.1	Methanomassiliicoccus luminyensis B10
GCF_000308255.2	Anaerococcus pacaensis 9403502
GCF_000308275.2	Levyella massiliensis
GCF_000308295.2	Afipia birgiae 34632
GCF_000308315.1	Legionella tunisiensis
GCF_000308355.2	Nocardia asteroides NBRC 15531
GCF_000308495.1	Nocardia brevicatena NBRC 12119
GCF_000308515.1	Nocardia carnea NBRC 14403
GCF_000308595.1	Nocardia higoensis NBRC 100133
GCF_000308615.1	Nocardia jiangxiensis NBRC 101359
GCF_000308635.1	Nocardia otitidiscaviarum NBRC 14405
GCF_000308655.1	Nocardia niigatensis NBRC 100131
GCF_000308675.1	Nocardia paucivorans NBRC 100373
GCF_000308695.1	Nocardia takedensis NBRC 100417
GCF_000308715.1	Nocardia tenerifensis NBRC 101015
GCF_000308755.1	Nocardia pneumoniae NBRC 100136
GCF_000308795.1	Nocardia thailandica NBRC 100428
GCF_000308835.1	Nocardia vinacea NBRC 16497
GCF_000308855.1	Nocardia veterana NBRC 100344
GCF_000308875.1	Nocardia transvalensis NBRC 15921
GCF_000309075.1	Occidentia massiliensis
GCF_000309315.1	Sedimentibacter sp. B4
GCF_000309385.1	Nodosilinea nodulosa PCC 7104
GCF_000309465.1	Poinsettia branch-inducing phytoplasma str. JR1
GCF_000309485.1	Milkweed yellows phytoplasma str. MW1
GCF_000309885.1	Thermus oshimai JL-2
GCF_000309945.1	Oscillatoriales cyanobacterium JSC-12
GCF_000310145.2	Thauera sp. 28
GCF_000310185.1	Thauera aminoaromatica S2
GCF_000311725.1	Bacillus massiliosenegalensis JC6
GCF_000311745.1	Anaerococcus obesiensis ph10
GCF_000311765.1	Gluconobacter oxydans H24
GCF_000311785.1	Brevibacillus massiliensis
GCF_000311825.1	Peptoniphilus grossensis ph5
GCF_000311845.1	Enorma massiliensis phI
GCF_000311865.1	Peptoniphilus obesi ph1
GCF_000311925.1	Alistipes obesi
GCF_000311985.1	Kallipyga massiliensis ph2
GCF_000312005.1	Cellulomonas massiliensis JC225
GCF_000312025.1	Peptoniphilus timonensis JC401
GCF_000312045.1	Noviherbaspirillum massiliense JC206
GCF_000312105.1	Aeromicrobium massiliense JC14
GCF_000312125.1	Timonella senegalensis JC301
GCF_000312145.1	Alistipes senegalensis JC50
GCF_000312345.1	Corynebacterium timonense 5401744
GCF_000312365.2	Anaerococcus provencensis
GCF_000312385.1	Tsukamurella sp. 1534
GCF_000312405.1	Lactobacillus ingluviei str. Autruche 4
GCF_000312425.1	Reyranella massiliensis 521
GCF_000312445.1	Phocaeicola abscessus CCUG 55929
GCF_000312505.2	Fenollaria massiliensis
GCF_000312525.1	Bartonella florencae
GCF_000312545.1	Bartonella senegalensis OS02
GCF_000312565.1	Bartonella rattaustraliani AUST/NH4
GCF_000312665.1	Rhizobium mesoamericanum STM3625
GCF_000312705.1	Anabaena sp. 90
GCF_000313175.2	Leptospira santarosai serovar Shermani str. LT 821
GCF_000313485.1	Wickerhamomyces ciferrii
GCF_000313525.1	Fibroporia radiculosa
GCF_000313565.1	Dielma fastidiosa
GCF_000313615.1	Campylobacter showae CSUNSWCD
GCF_000313635.1	Mycoplasma hyorhinis SK76
GCF_000313915.1	Catellicoccus marimammalium M35/04/3
GCF_000314575.1	Brevibacterium casei S18
GCF_000314675.2	Afipia broomeae ATCC 49717
GCF_000314735.2	Afipia felis ATCC 53690
GCF_000314895.2	Providencia sneebia DSM 19967
GCF_000314975.1	Aliiglaciecola lipolytica E3
GCF_000314995.1	Paraglaciecola arctica BSs20135
GCF_000315055.1	Paraglaciecola polaris LMG 21857
GCF_000315235.1	Paenibacillus popilliae ATCC 14706
GCF_000315365.1	Desulfotomaculum hydrothermale Lam5 = DSM 18033
GCF_000315445.1	Alloiococcus otitis ATCC 51267
GCF_000315465.1	Actinobaculum massiliense ACS-171-V-Col2
GCF_000315485.1	Bacteroides oleiciplenus YIT 12058
GCF_000315505.1	Veillonella seminalis ACS-216-V-Col6b
GCF_000315525.1	Sphingobium yanoikuyae ATCC 51230
